,승인번호,차변계정과목,차변금액,적요,거래처명,프로젝트명,사용부서명,귀속월,본부명,,차변계정과목,1 월,2 월,3 월,4 월,5 월,6 월,계,검증,좌 합계,"  1,201,262,073 "
2026-01-04,7,[6110000]복리후생비,"37,274",업무 성과 격려를 위한 내부 직원 식대,（주）장이네에프앤씨,레저사업본부,레저사업본부,01,레저,,[6110008]복리후생비_간식대,  - ,  - ,  - ,  - ,"  1,522,707 ","  186,933 ","  1,709,640 ",,,
2026-01-04,9,[6140000]통신비,"5,000",01월목장앵무새자판기카드단말기통신요금,(주)LG유플러스,목장/체험,레저사업본부,01,레저,,[6110009]복리후생비_유니폼,  - ,  - ,  - ,  - ,"  140,000 ",  - ,"  140,000 ",,,
2026-01-05,18,[6140000]통신비,"33,637",놀이동산QR체크용단말기통신료_4376,(주)케이티,놀이동산,레저사업본부,01,레저,,[6120000]여비교통비,"  410,119 ","  270,600 ","  284,178 ","  673,781 ","  749,500 ","  90,000 ","  2,478,178 ",,,
2026-01-05,18,[6140000]통신비,"33,637",놀이동산QR체크용단말기통신료_4314,(주)케이티,놀이동산,레저사업본부,01,레저,,[6130000]접대비,"  362,288 ","  63,500 ","  112,000 ","  50,000 ","  317,060 ",  - ,"  904,848 ",,,
2026-01-05,13,[6310000]지급수수료,"2,000",12월목장앵무새먹이자판기카드단말기대금,한동정보통신,목장/체험,레저사업본부,01,레저,,[6140000]통신비,"  368,672 ","  365,752 ","  369,389 ","  354,361 ","  340,298 ","  2,748,288 ","  4,546,760 ",,,
2026-01-05,18,[6140000]통신비,"33,637",놀이동산QR체크용단말기통신료_4367,(주)케이티,미니골프,레저사업본부,01,레저,,[6150000]수도광열비,"  5,440,210 ","  6,223,377 ","  4,596,095 ","  3,093,026 ","  2,227,120 ","  1,742,486 ","  23,322,314 ",,,
2026-01-06,15,[6310000]지급수수료,"29,220",업무 효율 향상을 위한 AI 서비스 구독료,GENSPARK.AI            SINGAPORE     SGP,레저사업본부,레저사업본부,01,레저,,[6160000]전력비,"  18,817,974 ","  17,412,044 ","  12,820,260 ","  10,992,782 ","  9,725,904 ","  10,182,000 ","  79,950,964 ",,,
2026-01-07,16,[6190000]지급임차료,"432,900","12월스타리아4WD11인승전체:￦36,122,940)/60회차중52회차",현대캐피탈,마운틴카트,레저사업본부,01,레저,,[6170000]세금과공과금,"  4,363,489 ","  4,227,545 ","  3,887,584 ","  4,447,188 ","  4,127,630 ","  4,504,114 ","  25,557,550 ",,,
2026-01-07,25,[6140000]통신비,"35,000",미디어아트센터외고객용인터넷사용료,(주)케이티,미디어아트센터,레저사업본부,01,레저,,[6190000]지급임차료,"  2,610,900 ","  3,030,925 ","  2,943,665 ","  2,559,429 ","  2,623,029 ","  2,619,517 ","  16,387,465 ",,,
2026-01-07,19,[1460000]상품,"96,818",01월미디어뮤지엄카페/상품[야광팔찌]구입300개,네이버파이낸셜주식회사,미디어아트센터_뮤지엄카페,레저사업본부,01,레저,,[6200000]수선비,  - ,"  130,000 ",  - ,"  38,182 ","  8,423,819 ","  15,086,500 ","  23,678,501 ",,,
2026-01-07,20,[1460000]상품,"133,690",01월미디어뮤지엄카페/상품[음료]구입174개,아리아퍼니처,미디어아트센터_뮤지엄카페,레저사업본부,01,레저,,[6210000]보험료,"  1,878,706 ","  4,096,726 ","  2,011,949 ","  3,444,037 ","  1,800,974 ","  35,823,416 ","  49,055,808 ",,,
2026-01-07,21,[1460000]상품,"133,636",01월미디어뮤지엄카페/상품[음료]구입174개,토스페이먼츠(주),미디어아트센터_뮤지엄카페,레저사업본부,01,레저,,[6220000]차량유지비,"  660,556 ","  273,884 ","  599,104 ","  1,861,071 ","  4,090,290 ","  2,165,106 ","  9,650,011 ",,,
2026-01-08,14,[6300000]소모품비,"180,909",01월목장리틀팜청소기구입,네이버파이낸셜주식회사,목장/체험,레저사업본부,01,레저,,[6230000]운반비,  - ,"  916,000 ",  - ,"  48,000 ",  - ,  - ,"  964,000 ",,,
2026-01-08,12,[6300000]소모품비,"16,273",01월미디어아트상품및소모품구입,한국정보통신（주）,미디어아트센터,레저사업본부,01,레저,,[6250000]교육훈련비,  - ,  - ,  - ,"  20,000 ",  - ,  - ,"  20,000 ",,,
2026-01-08,12,[1460000]상품,"23,927",상품및소모품구입/핫초코,한국정보통신（주）,미디어아트센터_뮤지엄카페,레저사업본부,01,레저,,[6250001]안전교육훈련비,  - ,  - ,"  216,000 ","  216,000 ","  160,000 ",  - ,"  592,000 ",,,
2026-01-09,37,[6210000]보험료,"572,400",26년시설배상보험/회전그네(26.01.10-27.01.10)/선입금후뉴스타피아에청구,현대해상화재보험,놀이동산,레저사업본부,01,레저,,[6260000]도서인쇄비,"  210,000 ",  - ,"  595,298 ","  40,000 ","  336,816 ","  455,544 ","  1,637,658 ",,,
2026-01-09,42,[6210000]보험료,"-572,400",26년시설배상보험/회전그네(26.01.10-27.01.10)/선입금후뉴스타피아에청구,현대해상화재보험,놀이동산,레저사업본부,01,레저,,[6290000]사무용품비,  - ,"  54,290 ",  - ,"  354,290 ",  - ,  - ,"  408,580 ",,,
2026-01-09,37,[9600000]잡손실,"100,000",자기부담금/(25.05.19)마운틴4번->3번고객오른쪽눈위이마타구사고/김진만,기타,마운틴카트,레저사업본부,01,레저,,[6300000]소모품비,"  6,904,591 ","  9,450,696 ","  10,598,705 ","  31,905,091 ","  14,528,496 ","  6,848,796 ","  80,236,375 ",,,
2026-01-09,49,[6220000]차량유지비,"31,819",25년법인차정기검진/목장,증평1급자동차공업사,목장/체험,레저사업본부,01,레저,,[6310000]지급수수료,"  1,503,427 ","  5,195,012 ","  14,206,108 ","  6,907,046 ","  7,458,667 ","  10,802,834 ","  46,073,094 ",,,
2026-01-10,14,[6130000]접대비,"362,288",외부 협력사 ‘날개팀’ 업무 협의 및 관계 유지를 위한 공연 관람 접대,블랙스톤벨포레,레저사업본부,레저사업본부,01,레저,,[6340000]장비사용료,  - ,"  200,000 ","  900,000 ",  - ,"  900,000 ",  - ,"  2,000,000 ",,,
2026-01-11,6,[6120000]여비교통비,"53,728",직원 교육 및 업계 동향 파악을 위한 호텔·관광 산업 박람회 참관 경비,굽네치킨,레저사업본부,레저사업본부,01,레저,,[6380001]보조원관리비_식대,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-12,16,[6300000]소모품비,"292,727",01월목장견심장사상충및구충제외,우주동물병원,목장/체험,레저사업본부,01,레저,,[6380002]보조원관리비_보험료,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,32,[6160000]전력비,"1,180,008",마운틴파워룸,한국전력공사,마운틴카트,레저사업본부,01,레저,,[6380003]보조원관리비_소모품비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,32,[6160000]전력비,"2,901,240",마운틴하우스,한국전력공사,마운틴카트,레저사업본부,01,레저,,[6380004]보조원관리비_복리(지원금),  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,14,[6300000]소모품비,"221,918",01월목장사랑앵무사료구입3개,아리아퍼니처,목장/체험,레저사업본부,01,레저,,[6380005]보조원관리비_유니폼,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,18,[6300000]소모품비,"45,455",01월목장앰무날림장구입1개,한국정보통신（주）,목장/체험,레저사업본부,01,레저,,[6380006]보조원관리비_지급임차료,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,23,[6300000]소모품비,"267,272",01월목장리틀팜퍼피사료3개구입,아리아퍼니처,목장/체험,레저사업본부,01,레저,,[6390000]협회비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,32,[6160000]전력비,"5,519,430",목장,한국전력공사,목장/체험,레저사업본부,01,레저,,[6420000]판매촉진비,  - ,"  917,015 ",  - ,"  4,914,000 ",  - ,  - ,"  5,831,015 ",,,
2026-01-13,32,[6160000]전력비,"1,098",미니골프,한국전력공사,미니골프,레저사업본부,01,레저,,[8020000]급여,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,32,[6160000]전력비,"7,647,480",미디어아트,한국전력공사,미디어아트센터,레저사업본부,01,레저,,[8050000]잡급,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,17,[1460000]상품,"68,955",01월미디어뮤지엄카페/상품[음료]138개구입,한국정보통신（주）,미디어아트센터_뮤지엄카페,레저사업본부,01,레저,,[8060000]퇴직급여,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,30,[8140000]통신비,"8,000",01월디지털지원[전산팀]등기우편발송료,도안우체국,서울분양사무소,,01,레저,,[8110000]복리후생비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,32,[6160000]전력비,"1,569,780",썸머랜드,한국전력공사,썸머랜드,레저사업본부,01,레저,,[8110003]복리후생비_건강보험,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-13,32,[6160000]전력비,"39,078",회전그네,한국전력공사,회전그네,레저사업본부,01,레저,,[8110007]복리후생비_식대,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-14,17,[6140000]통신비,"2,920",회원권 확인서 발급 요청 건 등기우편 발송,도안우체국,디지털지원팀,레저사업본부,01,레저,,[8110008]복리후생비_간식대,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-14,14,[6300000]소모품비,"681,818",01월목장견사료구입10개,네이버파이낸셜주식회사,목장/체험,레저사업본부,01,레저,,[8110009]복리후생비_유니폼,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,34,[6190000]지급임차료,"18,000",놀이동산/2대,더 퍼퓸코리아(주),놀이동산,Activity팀,01,레저,,[8120000]여비교통비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,34,[6190000]지급임차료,"18,000",루지/2대,더 퍼퓸코리아(주),엑티비티,Activity팀,01,레저,,[8130000]접대비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,13,[6190000]지급임차료,"60,000",AED제세동기렌탈료/마운틴카트상부,(주)에스원청주,마운틴카트,레저사업본부,01,레저,,[8140000]통신비,"  8,000 ",  - ,  - ,  - ,  - ,  - ,"  8,000 ",,,
2026-01-15,13,[6190000]지급임차료,"60,000",AED제세동기렌탈료/목장,(주)에스원청주,목장/체험,레저사업본부,01,레저,,[8150000]수도광열비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,34,[6190000]지급임차료,"36,000",목장/4대,더 퍼퓸코리아(주),목장/체험,목장팀,01,레저,,[8160000]전력비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,12,[6310000]지급수수료,"341,000",에스원출입통제서비스용역료_미디어센터,(주)에스원청주,미디어아트센터,레저사업본부,01,레저,,[8170000]세금과공과금,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,13,[6190000]지급임차료,"60,000",AED제세동기렌탈료/미디어아트,(주)에스원청주,미디어아트센터,레저사업본부,01,레저,,[8190000]지급임차료,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,34,[6190000]지급임차료,"36,000",미디어아트센터/4대,더 퍼퓸코리아(주),미디어아트센터,미디어아트팀,01,레저,,[8200000]수선비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,19,[1460000]상품,"-2,204",01월미디어뮤지엄카페/판매용상품구입,토스페이먼츠(주),미디어아트센터_기프트샵,레저사업본부,01,레저,,[8210000]보험료,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,20,[1460000]상품,"171,983",01월미디어기프트샵/판매용상품[완구류]구입,토스페이먼츠(주),미디어아트센터_기프트샵,레저사업본부,01,레저,,[8220000]차량유지비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,18,[6310000]지급수수료,"30,000",25년12월수영장수중청소기3구/통관수수료,바이브 관세사무소,원더풀,레저사업본부,01,레저,,[8240000]운반비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-15,13,[6190000]지급임차료,"60,000",AED제세동기렌탈료/회전그네,(주)에스원청주,회전그네,레저사업본부,01,레저,,[8250000]교육훈련비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-16,18,[6300000]소모품비,"24,363",01월목장내안내판아크릴구입,네이버파이낸셜주식회사,목장/체험,레저사업본부,01,레저,,[8250001]안전교육훈련비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-19,14,[6300000]소모품비,"12,636",01월디노시네마PC연장케이블구입,네이버파이낸셜주식회사,목장/체험,레저사업본부,01,레저,,[8260000]도서인쇄비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-20,31,[6300000]소모품비,"52,818","01월목장리틀팜고객용덧신구입2,000개",한국정보통신（주）,목장/체험,레저사업본부,01,레저,,[8290000]사무용품비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-20,14,[9600000]잡손실,"100,000",자기부담금/(25.10.25)플레이존미끄럼틀이용시다른고객피하다발목부상/최수연(모.강현정),기타,미디어아트센터,레저사업본부,01,레저,,[8300000]소모품비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-20,29,[1460000]상품,"1,044,909",01월판매용상품구매(미디어기프트샵)/완구류,세계세주,미디어아트센터_기프트샵,레저사업본부,01,레저,,[8310000]지급수수료,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-21,13,[6300000]소모품비,"890,909",01월목장견[프리비시]원반구입100개,네이버파이낸셜주식회사,목장/체험,레저사업본부,01,레저,,[8310001]지급수수료_신용카드수수료,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-22,14,[6260000]도서인쇄비,"140,000",01월미디어벨포레홀자이언트배너제작,디자인뱅크,미디어아트_벨포레홀,레저사업본부,01,레저,,[8310010]외주용역비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-22,15,[6260000]도서인쇄비,"50,000",01월미디어벨포레홀홍보용현수막,디자인뱅크,미디어아트_벨포레홀,레저사업본부,01,레저,,[8330000]광고선전비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-22,17,[6300000]소모품비,"8,090",01월미디어센터소모품구입/붓외,아리아퍼니처,미디어아트센터,레저사업본부,01,레저,,[8490000]협회비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-23,23,[6120000]여비교통비,"29,091",직원 교육 및 업계 동향 파악을 위한 호텔·관광 산업 박람회 참관 경비,태아산업（주）음성상,레저사업본부,레저사업본부,01,레저,,[9310000]이자비용,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-23,24,[6120000]여비교통비,"14,000",직원 교육 및 업계 동향 파악을 위한 호텔·관광 산업 박람회 참관 경비,태아산업（주）음성상,레저사업본부,레저사업본부,01,레저,,[9330000]기부금,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-23,25,[6120000]여비교통비,"5,455",직원 교육 및 업계 동향 파악을 위한 호텔·관광 산업 박람회 참관 경비,（주）케이알산업,레저사업본부,레저사업본부,01,레저,,[9500000]유형자산처분손실,  - ,"  174,812 ",  - ,  - ,  - ,  - ,"  174,812 ",,,
2026-01-23,26,[6120000]여비교통비,"2,545",직원 교육 및 업계 동향 파악을 위한 호텔·관광 산업 박람회 참관 경비,（주）케이알산업,레저사업본부,레저사업본부,01,레저,,[9600000]잡손실,"  200,000 ",  - ,  - ,"  1,354 ","  100,000 ","  200,000 ","  501,354 ",,,
2026-01-23,27,[6260000]도서인쇄비,"20,000",레저사업본부_김태정,주식회사 디코라이징,레저사업본부,레저사업본부,01,레저,,계,"  234,083,052 ","  172,323,973 ","  173,133,323 ","  203,859,951 ","  199,500,842 ","  218,360,932 ","  1,201,262,073 ",,,
2026-01-23,19,[6300000]소모품비,"40,727",01월목장리틀팜배변패드구입800매,네이버파이낸셜주식회사,목장/체험,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-25,8,[6310000]지급수수료,"38,000",01월업장별디자인제작/목장[얼룩말메뉴판외],토스페이먼츠(주),목장/체험,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-25,7,[6310000]지급수수료,"52,245",01월업장별디자인제작/미디어[벨포레홀공연홍보물],토스페이먼츠(주),미디어아트_벨포레홀,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-26,15,[6220000]차량유지비,"122,727",01월레저스타리아차량배터리구입1개,네이버파이낸셜주식회사,마운틴카트,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-26,14,[6310000]지급수수료,"841,200",01월목장내동물분뇨처리,농업회사법인 더클린(주),목장/체험,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-28,15,[6300000]소모품비,"257,500",미디어센터,한국특수유통(주),미디어아트센터,레저사업본부,01,레저,,[6180000]감가상각비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-28,12,[1460000]상품,"91,991",01월미디어뮤지엄카페/상품[음료외]구입,한국정보통신（주）,미디어아트센터_뮤지엄카페,레저사업본부,01,레저,,[8180000]감가상각비,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-28,15,[6300000]소모품비,0,식음(얼룩말),한국특수유통(주),얼룩말카페,레저사업본부,01,레저,,[8400000]무형고정자산상각,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-29,7,[6300000]소모품비,"272,727",01월레저팀제세동기패드구입2개,네이버파이낸셜주식회사,마운틴카트,레저사업본부,01,레저,,계,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,
2026-01-29,20,[6310000]지급수수료,"2,182",25.12.21~26.01.20_N멤버십판매대행수수료/목장,주식회사 타미마케팅,목장/체험,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-29,20,[6310000]지급수수료,"1,091",25.12.21~26.01.20_N멤버십판매대행수수료/미디어아트센터,주식회사 타미마케팅,미디어아트센터,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-29,6,[6300000]소모품비,"353,363","01월미디어아트볼풀공2,000개,충전기1개",네이버파이낸셜주식회사,미디어아트센터_뮤지엄카페,레저사업본부,01,레저,,제외항목(공사비용),,,,,,,,,,
2026-01-29,20,[6310000]지급수수료,727,25.12.21~26.01.20_N멤버십판매대행수수료/사계절썰매장,주식회사 타미마케팅,사계절썰매장,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-30,13,[6300000]소모품비,"1,475,265",01월건초(티모시)및동물사료구매/닭사료및양사료,정인물류,목장/체험,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-30,22,[6300000]소모품비,"14,272",01월목장리틀팜운영소모품구입/포장용기외,네이버파이낸셜주식회사,목장/체험,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-30,23,[6300000]소모품비,"137,182",01월미디어전산소모품구입/어답터외,한국정보통신（주）,미디어아트센터,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-30,16,[1460000]상품,"130,909",01월판매용상품구매(얼룩말)/완구류,세계세주,얼룩말카페,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-30,21,[6300000]소모품비,"49,282",01월얼룩말운영소모품구입/미니거품기외,한국정보통신（주）,얼룩말카페,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-30,25,[1460000]상품,"190,909",01월세미나[얼룩말]다과구입/충북보건과학대A셋트70개,충북보건과학대학교산학협력단,얼룩말카페,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-30,25,[1460000]상품,"327,273",01월세미나[얼룩말]다과구입/중원대학B셋트40개,중원대학교,얼룩말카페,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,63,[6020000]외주비,"25,698,182",01월위탁매출수수료_놀이동산(뉴스타피아),주식회사뉴스타피아,놀이동산,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,74,[6020000]외주비,"-25,698,182",1월외주업체상계/놀이동산(1월매출비용상계잔액분),주식회사뉴스타피아,놀이동산,,01,레저,,,,,,,,,,,,
2026-01-31,107,[6090000]퇴직급여,"30,577,360",이성훈퇴직급여(기간:19.06.10 ~ 26.01.20),,디지털지원팀,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,108,[6090000]퇴직급여,"10,548,630",남장우퇴직급여(기간:24.01.16 ~ 26.01.15),,디지털지원팀,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6110003]복리후생비_건강보험,"820,857",1월귀속임직원건강보험료회사부담금,건강보험관리공단,디지털지원팀,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6170000]세금과공과금,"900,297",1월귀속임직원국민연금회사부담금,국민연금관리공단,디지털지원팀,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6210000]보험료,"224,365",1월귀속임직원고용보험회사부담금,고용보험,디지털지원팀,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6210000]보험료,"173,588",1월귀속임직원산재보험료,산재보험,디지털지원팀,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,109,[6110007]복리후생비_식대,"114,545",직원식당식대/디지털지원팀,삼성웰스토리(주)벨포레CC,디지털지원팀,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,128,[6030000]급여,"30,266,570",1월귀속직원급여/권순민외4명_디지털지원팀,기타직원(정규직),디지털지원팀,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6110003]복리후생비_건강보험,"234,397",1월귀속임직원건강보험료회사부담금,건강보험관리공단,레저사업본부,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6170000]세금과공과금,"238,157",1월귀속임직원국민연금회사부담금,국민연금관리공단,레저사업본부,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6210000]보험료,"76,590",1월귀속임직원고용보험회사부담금,고용보험,레저사업본부,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6210000]보험료,"52,768",1월귀속임직원산재보험료,산재보험,레저사업본부,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,128,[6030000]급여,"5,417,650",1월귀속직원급여/김태정_레저사업본부,기타직원(정규직),레저사업본부,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,131,[6310000]지급수수료,"45,362",고행사도변환AI구독료,,레저사업본부,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,135,[6150000]수도광열비,0,상하수도요금/루지상부,증평군상하수도사업소,엑티비티,Activity팀,01,레저,,,,,,,,,,,,
2026-01-31,135,[6150000]수도광열비,0,상하수도요금/루지매표소,증평군상하수도사업소,엑티비티,Activity팀,01,레저,,,,,,,,,,,,
2026-01-31,61,[6220000]차량유지비,"84,785","마리나(5080,제트보트,요트)경유및무연유류대",유진주유소,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6110003]복리후생비_건강보험,"149,627",1월귀속임직원건강보험료회사부담금,건강보험관리공단,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6110003]복리후생비_건강보험,0,1월귀속일용직건강보험료회사부담금,건강보험관리공단,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6170000]세금과공과금,"139,217",1월귀속임직원국민연금회사부담금,국민연금관리공단,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6170000]세금과공과금,0,1월귀속일용직국민연금회사부담금,국민연금관리공단,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6210000]보험료,"55,235",1월귀속임직원고용보험회사부담금,고용보험,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6210000]보험료,0,1월귀속일용직고용보험회사부담금,고용보험,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6210000]보험료,"35,298",1월귀속임직원산재보험료,산재보험,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,127,[6210000]보험료,0,1월귀속임직원산재보험료,산재보험,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,112,[6040000]잡급,0,1월귀속일용직노임,증평에듀팜일용노임,마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,128,[6030000]급여,"3,333,340",1월귀속직원급여/정송현_마리나,기타직원(정규직),마리나,레저사업본부,01,레저,,,,,,,,,,,,
2026-01-31,135,[6150000]수도광열비,0,상하수도요금/마리나,증평군상하수도사업소,마리나,Activity팀,01,레저,,,,,,,,,,,,
2026-01-31,1,[6190000]지급임차료,"1,000,000",1월숙소임차료(대성베르힐A108-1402)김형도/24회중18회납(선납),유재열,마운틴카트,레저사업본부,01,레저,,,,,,,,,,,,
